Players,Team,Type,Sold,Age
Virat Kohli,RCB,BAT,21,36
Rajat Patidar,RCB,BAT,11,24
Yash Dayal,RCB,BOWL,5,34
Jasprit Bumrah,MI,BOWL,18,31
Suryakumar Yadav,MI,BAT,16.35,27
Hardik Pandya,MI,AR,16.35,29
Rohit Sharma,MI,BAT,16.3,26
Tilak Varma,MI,AR,8,35
Heinrich Klaasen,SRH,BAT,23,33
Pat Cummins,SRH,AR,18,31
Abhishek Sharma,SRH,AR,14,35
Travis Head,SRH,BAT,14,32
Nitish Kumar Reddy,SRH,AR,6,34
Ruturaj Gaikwad,CSK,BAT,18,27
Ravindra Jadeja,CSK,AR,18,36
Matheesha Pathirana,CSK,BOWL,13,33
Shivam Dube,CSK,AR,12,22
MS Dhoni,CSK,BAT,4,30
Axar Patel,DC,AR,16.5,24
Kuldeep Yadav,DC,BOWL,13.25,34
Tristan Stubbs,DC,BAT,10,38
Abishek Porel,DC,BAT,4,38
Rinku Singh,KKR,BAT,13,30
Varun Chakravarthy,KKR,AR,12,33
Sunil Narine,KKR,BOWL,12,36
Andre Russell,KKR,AR,12,34
Harshit Rana,KKR,BOWL,4,25
Ramandeep Singh,KKR,AR,4,35
Sanju Samson,RR,BAT,18,35
Yashasvi Jaiswal,RR,AR,18,32
Riyan Parag,RR,AR,14,23
Dhruv Jurel,RR,BAT,14,26
Shimron Hetmyer,RR,BAT,11,28
Sandeep Sharma,RR,BOWL,4,31
Rashid Khan,GT,BOWL,18,27
Shubman Gill,GT,BAT,16.5,35
Sai Sudharsan,GT,AR,8.5,34
Rahul Tewatia,GT,AR,4,28
M Shahrukh Khan,GT,AR,4,29
Nicholas Pooran,LSG,BAT,21,29
Ravi Bishnoi,LSG,BOWL,11,31
Mayank Yadav,LSG,BOWL,11,20
Mohsin Khan,LSG,BOWL,4,25
Ayush Badoni,LSG,AR,4,27
Shashank Singh,PBKS,AR,5.5,23
Prabhsimran Singh,PBKS,BAT,4,24
Jos Buttler,GT,BAT,15.75,32
Shreyas Iyer,PBKS,BAT,26.75,30
Rishabh Pant,LSG,BAT,27,27
Kagiso Rabada,GT,BOWL,10.75,33
Arshdeep Singh,PBKS,BOWL,18,20
Mitchell Starc,DC,BOWL,11.75,27
Yuzvendra Chahal,PBKS,BOWL,18,24
Liam Livingstone,RCB,AR,8.75,24
David Miller,LSG,BAT,7.5,29
KL Rahul,DC,BAT,14,25
Mohammed Shami,SRH,BOWL,10,25
Mohammed Siraj,GT,BOWL,12.25,21
Harry Brook,DC,BAT,6.25,23
Devon Conway,CSK,BAT,6.25,34
Jake Fraser-McGurk,DC,BAT,9,26
Aiden Markram,LSG,BAT,2,20
Devdutt Padikkal,RCB,BAT,2,26
Rahul Tripathi,CSK,BAT,3.4,23
David Warner,-,BAT,Unsold,20
Ravichandran Ashwin,CSK,AR,9.75,22
Venkatesh Iyer,KKR,AR,23.75,30
Mitchell Marsh,LSG,AR,3.4,25
Glenn Maxwell,PBKS,AR,4.2,
Harshal Patel,SRH,AR,8,
Rachin Ravindra,CSK,AR,4,
Marcus Stoinis,PBKS,AR,11,
Jonny Bairstow,-,BAT,Unsold,Age
Quinton de Kock,KKR,BAT,3.6,
Rahmanullah Gurbaz,KKR,BAT,2,
Ishan Kishan,SRH,BAT,11.25,31
Phil Salt,RCB,BAT,11.5,28
Jitesh Sharma,RCB,BAT,11,27
Khaleel Ahmed,CSK,BOWL,4.8,25
Trent Boult,MI,BOWL,12.5,31
Josh Hazlewood,RCB,BOWL,12.5,36
Avesh Khan,LSG,BOWL,9.75,27
Prasidh Krishna,GT,BOWL,9.5,26
T Natarajan,DC,BOWL,10.75,24
Anrich Nortje,KKR,BOWL,6.5,28
Noor Ahmad,CSK,BOWL,10,36
Rahul Chahar,SRH,BOWL,3.2,31
Wanindu Hasaranga,RR,BOWL,5.25,27
Waqar Salamkheil,-,BOWL,Unsold,21
Maheesh Theekshana,RR,BOWL,4.4,37
Adam Zampa,SRH,BOWL,2.4,27
Yash Dhull,-,BAT,Unsold,22
Abhinav Manohar,SRH,BAT,3.2,34
Karun Nair,DC,BAT,0.5,40
Angkrish Raghuvanshi,KKR,BAT,3,28
Anmolpreet Singh,-,BAT,Unsold,31
Atharva Taide,SRH,BAT,0.3,36
Nehal Wadhera,PBKS,BAT,4.2,25
Harpreet Brar,PBKS,AR,1.5,34
Naman Dhir,MI,AR,5.25,26
Mahipal Lomror,GT,AR,1.7,24
Sameer Rizvi,DC,AR,0.95,33
Abdul Samad,LSG,AR,4.2,34
Vijay Shankar,CSK,AR,1.2,31
Ashutosh Sharma,DC,AR,3.8,25
Nishant Sindhu,GT,AR,0.3,33
Utkarsh Singh,-,AR,Unsold,31
Aryan Juyal,LSG,BAT,0.3,33
Kumar Kushagra,GT,BAT,0.65,26
Robin Minz,MI,BAT,0.65,31
Anuj Rawat,GT,BAT,0.3,30
Luvnith Sisodia,KKR,BAT,0.3,28
Vishnu Vinod,PBKS,BAT,0.95,32
Upendra Yadav,-,BAT,Unsold,24
Vaibhav Arora,KKR,BOWL,1.8,28
Rasikh Salam,RCB,BOWL,6,29
Akash Madhwal,RR,BOWL,1.2,33
Mohit Sharma,DC,BOWL,2.2,35
Simarjeet Singh,SRH,BOWL,1.5,31
Yash Thakur,PBKS,BOWL,1.6,19
Kartik Tyagi,-,BOWL,Unsold,31
Vijaykumar Vyshak,PBKS,BOWL,1.8,35
Piyush Chawla,-,BOWL,Unsold,24
Shreyas Gopal,CSK,BOWL,0.3,37
Mayank Markande,KKR,BOWL,0.3,23
Suyash Sharma,RCB,BOWL,2.6,28
Karn Sharma,MI,BOWL,0.5,20
Kumar Kartikeya,RR,BOWL,0.3,22
Manav Suthar,GT,BOWL,0.3,30
Mayank Agarawal,-,BAT,Unsold,27
Faf du Plessis,DC,BAT,2,23
Glenn Phillips,GT,BAT,2,20
Rovman Powell,KKR,BAT,1.5,28
Ajinkya Rahane,KKR,BAT,1.5,28
Prithvi Shaw,-,BAT,Unsold,24
Kane Williamson,-,BAT,Unsold,27
Sam Curran,CSK,AR,2.4,26
Marco Jansen,PBKS,AR,7,27
Daryl Mitchell,-,AR,Unsold,26
Krunal Pandya,RCB,AR,5.75,34
Nitish Rana,RR,AR,4.2,28
Washington Sundar,GT,AR,3.2,
Shardul Thakur,-,AR,Unsold,
Srikar Bharat,-,BAT,Unsold,
Alex Carey,-,BAT,Unsold,
Donovan Ferreira,DC,BAT,0.75,Age
Shai Hope,-,BAT,Unsold,
Josh Inglis,PBKS,BAT,2.6,
Ryan Rickelton,MI,BAT,1,19
Deepak Chahar,MI,BOWL,9.25,22
Gerald Coetzee,GT,BOWL,2.4,24
Akash Deep,LSG,BOWL,8,25
Tushar Deshpande,RR,BOWL,6.5,30
Lockie Ferguson,PBKS,BOWL,2,22
Bhuvneshwar Kumar,RCB,BOWL,10.75,28
Mukesh Kumar,DC,BOWL,8,24
AM Ghazanfar,MI,BOWL,4.8,28
Akeal Hosein,-,BOWL,Unsold,20
Keshav Maharaj,-,BOWL,Unsold,26
Mujeeb Ur Rahman,-,BOWL,Unsold,28
Adil Rashid,-,BOWL,Unsold,24
Vijayakanth Viyaskanth,-,BOWL,Unsold,25
Ricky Bhui,-,BAT,TBA,25
Swastik Chikara,RCB,BAT,0.3,25
Aarya Desai,-,BAT,TBA,26
Shubham Dubey,RR,BAT,0.8,26
Madhav Kaushik,-,BAT,Unsold,25
Pukhraj Mann,-,BAT,Unsold,25
Shaik Rasheed,CSK,BAT,0.3,25
Himmat Singh,LSG,BAT,0.3,25
Mayank Dagar,-,AR,Unsold,21
Anshul Kamboj,CSK,AR,3.4,30
Arshad Khan,GT,AR,1.3,35
Darshan Nalkande,DC,AR,0.3,35
Suyash Prabhudessai,-,AR,TBA,26
Anukul Roy,KKR,AR,0.4,32
Swapnil Singh,RCB,AR,0.5,34
Sanvir Singh,-,AR,TBA,30
Aravelly Avanish,-,BAT,Unsold,37
Vansh Bedi,CSK,BAT,0.55,29
Saurav Chauhan,-,BAT,TBA,29
Harvik Desai,-,BAT,Unsold,26
Tom Kohler-Cadmore,-,BAT,TBA,25
Kunal Singh Rathore,RR,BAT,0.3,28
BR Sharath,-,BAT,TBA,30
Gurnoor Brar,GT,BOWL,1.3,26
Mukesh Choudhary,CSK,BOWL,0.3,33
Sakib Hussain,-,BOWL,Unsold,24
Vidwath Kaverappa,-,BOWL,Unsold,30
Rajan Kumar,-,BOWL,Unsold,30
Sushant Mishra,-,BOWL,TBA,34
Arjun Tendulkar,MI,BOWL,0.3,27
Zeeshan Ansari,SRH,BOWL,0.4,30
Prince Choudhary,-,BOWL,Unsold,29
Himanshu Sharma,-,BOWL,TBA,29
Manimaran Siddharth,LSG,BOWL,0.75,25
Digvesh Singh,LSG,BOWL,0.3,29
Prashant Solanki,-,BOWL,Unsold,36
Jhathavedh Subramanyan,-,BOWL,Unsold,30
Finn Allen,-,BAT,Unsold,25
Dewald Brevis,-,BAT,Unsold,33
Ben Duckett,-,BAT,Unsold,37
Manish Pandey,KKR,BAT,0.75,22
Rilee Rossouw,-,BAT,TBA,26
Sherfane Rutherford,GT,BAT,2.6,23
Ashton Turner,-,BAT,TBA,23
James Vince,-,BAT,TBA,35
Shahbaz Ahmed,LSG,AR,2.4,35
Moeen Ali,KKR,AR,2,36
Tim David,RCB,AR,3,24
Deepak Hooda,CSK,AR,1.7,22
Will Jacks,MI,AR,5.25,21
Azmatullah Omarzai,PBKS,AR,2.4,24
Sai Kishore,GT,AR,2,18
